category_id,name_tr,name_en,description_tr,description_en,parent_id,icon_image_id,cover_image_id,color_code,is_active,display_order,metadata,created_at,updated_at
music,Müzik,Music,Konserler ve müzik etkinlikleri,Concerts and music events,,3,2,#8B5CF6,true,1,"{""seo_keywords"": ""konser, müzik, sanatçı"", ""popular_venues"": [""Zorlu PSM"", ""Volkswagen Arena""]}",2024-01-15 12:00:00,2024-01-15 12:00:00
sports,Spor,Sports,Spor etkinlikleri ve maçlar,Sports events and matches,,4,,#F97316,true,2,"{""seo_keywords"": ""spor, maç, turnuva"", ""popular_venues"": [""Türk Telekom Stadyumu"", ""Sinan Erdem Dome""]}",2024-01-15 12:05:00,2024-01-15 12:05:00
theater,Tiyatro,Theater,Tiyatro oyunları ve sahne sanatları,Theater plays and performing arts,,5,,#EF4444,true,3,"{""seo_keywords"": ""tiyatro, oyun, sahne"", ""popular_venues"": [""İstanbul Devlet Tiyatrosu"", ""Muhsin Ertuğrul Sahnesi""]}",2024-01-15 12:10:00,2024-01-15 12:10:00
festival,Festival,Festival,Festivaller ve kültürel etkinlikler,Festivals and cultural events,,6,,#10B981,true,4,"{""seo_keywords"": ""festival, kültür, etkinlik"", ""popular_venues"": [""Küçükçiftlik Park"", ""Life Park""]}",2024-01-15 12:15:00,2024-01-15 12:15:00
cinema,Sinema,Cinema,Film gösterimleri ve sinema etkinlikleri,Movie screenings and cinema events,,,,#6366F1,true,5,"{""seo_keywords"": ""film, sinema, gösteri"", ""popular_venues"": [""Cinemaximum"", ""AFM""]}",2024-01-15 12:20:00,2024-01-15 12:20:00
workshop,Atölye,Workshop,Eğitim ve workshop etkinlikleri,Educational and workshop events,,,,#F59E0B,true,6,"{""seo_keywords"": ""eğitim, atölye, workshop"", ""popular_venues"": [""Kolektif House"", ""SALT Galata""]}",2024-01-15 12:25:00,2024-01-15 12:25:00
pop,Pop Müzik,Pop Music,Pop müzik konserleri,Pop music concerts,1,,,#EC4899,true,11,"{""parent_category"": ""music"", ""target_age"": ""18-45"", ""typical_duration"": ""2-3 hours""}",2024-01-15 12:30:00,2024-01-15 12:30:00
rock,Rock Müzik,Rock Music,Rock müzik konserleri,Rock music concerts,1,,,#DC2626,true,12,"{""parent_category"": ""music"", ""target_age"": ""16-50"", ""typical_duration"": ""2-4 hours""}",2024-01-15 12:35:00,2024-01-15 12:35:00
jazz,Caz Müzik,Jazz Music,Caz müzik konserleri,Jazz music concerts,1,,,#7C3AED,true,13,"{""parent_category"": ""music"", ""target_age"": ""25-65"", ""typical_duration"": ""1.5-2.5 hours""}",2024-01-15 12:40:00,2024-01-15 12:40:00
football,Futbol,Football,Futbol maçları ve turnuvaları,Football matches and tournaments,2,,,#059669,true,21,"{""parent_category"": ""sports"", ""season"": ""September-May"", ""typical_duration"": ""2 hours""}",2024-01-15 12:45:00,2024-01-15 12:45:00
basketball,Basketbol,Basketball,Basketbol maçları ve turnuvaları,Basketball matches and tournaments,2,,,#DC2626,true,22,"{""parent_category"": ""sports"", ""season"": ""October-June"", ""typical_duration"": ""2.5 hours""}",2024-01-15 12:50:00,2024-01-15 12:50:00 
